547.5,617,606,595,572.5,598
551,619.5,613,598,575,599.5
555,613,612,597.5,578.5,600
548,615.5,612.5,599.5,578,601.5
555,617.5,612.5,606,586.5,606.5
562.5,623.5,621.5,611.5,589.5,610.5
559,624.5,615.5,613.5,588,610
561,625.5,618.5,615.5,591.5,611.5
562.5,626,606,616,598,614
570,631,618,623,611,623.5
570,626,621,622,602,623.5
573,633,628.5,627.5,606,626
577.5,636.5,630.5,630.5,609.5,632.5
575.5,633.5,625,628.5,603.5,631.5
583.5,639.5,634.5,642,615,639.5
586.5,642.5,635.5,640.5,615,639.5
589.5,645,634.5,638,617,639
586.5,649.5,615,642.5,612,642
587,642,636,638.5,614.5,640
582.5,637,630,634,610,634
577,637,629.5,628,608,633.5
574.5,636.5,630,627.5,609.5,631.5
582,634.5,630,629.5,612,634
580,634.5,629.5,627,610.5,629.5
574.5,627,627.5,622.5,601,624.5
570,624,627,618.5,601.5,620
574,626.5,629,625,604.5,626
574,624.5,628.5,624,602.5,624.5
567.5,617.5,623,616,594,614
566,617,615,612.5,585,614.5
562,609.5,615,612.5,581.5,608.5
558.5,614,616,612.5,575,606
557.5,612,617,611,576,608.5
563.5,613.5,615.5,619.5,574,611
557,610.5,607.5,613,566.5,603
556.5,611.5,605,611,569,604
563,617,607,618.5,575,609
559,615,605,617.5,561.5,602.5
533,598,598,594,549,585
531.5,586.5,588.5,585.5,549.5,583.5
537,593,592,588,545.5,582
535.5,601,589.5,594,551.5,590.5
546,603,588.5,595,551,599
548.5,612.5,589,602,564.5,600.5
556.5,617.5,592,619.5,571,612
556,619,591,611,567,606.5
556,609,590.5,607,566.5,600.5
552,610,593,605,566,601
552.5,606,591,601.5,560,600.5
543,603,583.5,599.5,550.5,591.5
540.5,599,577,603.5,547,598
536,604,577,612,540.5,597
539.5,612.5,581,622.5,548,609
545.5,629.5,585.5,639,560,623
561,650,588.5,644.5,560,631.5
564,648.5,588.5,639.5,554,622.5
558.5,648,588,628.5,552,614
559.5,648,594.5,633.5,554.5,620
547.5,643,591,627,548.5,611
548,642,591,632.5,550,617.5
538.5,631.5,570.5,624.5,526.5,611.5
533.5,626.5,568.5,630.5,526,616.5
530.5,623.5,569.5,627.5,526,608.5
516,612.5,563.5,604.5,516,597.5
507,603.5,561,592.5,506.5,589
503,590.5,559,582.5,498,579
503.5,589,562.5,579,498,577
506,591,570,581,500.5,574
506,592,573.5,578,504,573.5
507.5,593,568.5,587,513.5,574.5
507,587.5,570,581.5,516,572
515,590.5,571,591.5,515,576
517,597.5,575.5,597.5,522.5,583
526.5,604,578.5,604.5,521,591.5
535,611.5,585,610,523,595
536,612.5,578.5,606.5,521,590.5
525,600,560,591.5,505.5,577.5
520.5,594.5,562,579,507,567.5
522.5,597.5,563.5,583,508.5,572.5
522.5,587.5,565,563.5,514,555.5
530,600,571,588,530.5,578
534,605,575,589,531,575
540.5,614,582,602.5,552.5,592.5
545,609.5,585,610,554,596.5
556.5,622.5,588.5,609.5,555,601.5
551.5,616.5,579,607,547.5,596.5
554.5,611.5,583.5,610,553.5,600
563,618,592,620,565.5,604.5
562.5,620,594,614.5,564,603
550,606.5,580.5,594.5,542.5,586.5
547.5,596.5,576,591.5,535.5,582.5
552.5,597,571.5,589.5,537.5,578.5
547.5,604.5,564,592.5,533.5,580
547.5,599.5,563.5,589,534,576
542,605.5,565.5,590,537,579.5
543,609,565,601.5,541.5,585.5
544,610.5,562,611.5,540.5,595.5
541,608,555,608.5,539,587.5
524,593.5,552.5,584,530,569.5
518.5,581.5,541.5,574.5,524,564
